[2026-04-04 15:34:39] START 05_train_droid_curated
[train-sharded:train] 1/1197 shards | elapsed 01:00 | rate 0.02/shard/s | remaining 20:00:40 | epoch=1/1 shard=droid_train_0000.hdf5 samples=9450
[train-sharded:train] 19/1197 shards | elapsed 21:17 | rate 0.01/shard/s | remaining 21:59:43 | epoch=1/1 shard=droid_train_0018.hdf5 samples=8155
[train-sharded:train] 20/1197 shards | elapsed 22:23 | rate 0.01/shard/s | remaining 21:57:09 | epoch=1/1 shard=droid_train_0019.hdf5 samples=9826
[train-sharded:train] 21/1197 shards | elapsed 23:16 | rate 0.02/shard/s | remaining 21:42:42 | epoch=1/1 shard=droid_train_0020.hdf5 samples=8366
[train-sharded:train] 22/1197 shards | elapsed 24:16 | rate 0.02/shard/s | remaining 21:36:27 | epoch=1/1 shard=droid_train_0021.hdf5 samples=9333
[train-sharded:train] 23/1197 shards | elapsed 25:16 | rate 0.02/shard/s | remaining 21:29:20 | epoch=1/1 shard=droid_train_0022.hdf5 samples=8758
[train-sharded:train] 24/1197 shards | elapsed 26:17 | rate 0.02/shard/s | remaining 21:24:12 | epoch=1/1 shard=droid_train_0023.hdf5 samples=9198
[train-sharded:train] 25/1197 shards | elapsed 27:03 | rate 0.02/shard/s | remaining 21:08:24 | epoch=1/1 shard=droid_train_0024.hdf5 samples=7902
[train-sharded:train] 26/1197 shards | elapsed 27:58 | rate 0.02/shard/s | remaining 20:59:35 | epoch=1/1 shard=droid_train_0025.hdf5 samples=8798
[train-sharded:train] 27/1197 shards | elapsed 29:08 | rate 0.02/shard/s | remaining 21:02:09 | epoch=1/1 shard=droid_train_0026.hdf5 samples=10176
[train-sharded:train] 28/1197 shards | elapsed 30:15 | rate 0.02/shard/s | remaining 21:02:43 | epoch=1/1 shard=droid_train_0027.hdf5 samples=9756
[train-sharded:train] 29/1197 shards | elapsed 31:10 | rate 0.02/shard/s | remaining 20:55:27 | epoch=1/1 shard=droid_train_0028.hdf5 samples=8539
[train-sharded:train] 30/1197 shards | elapsed 31:53 | rate 0.02/shard/s | remaining 20:40:30 | epoch=1/1 shard=droid_train_0029.hdf5 samples=7542
[train-sharded:train] 31/1197 shards | elapsed 32:58 | rate 0.02/shard/s | remaining 20:40:09 | epoch=1/1 shard=droid_train_0030.hdf5 samples=9401
[train-sharded:train] 32/1197 shards | elapsed 33:55 | rate 0.02/shard/s | remaining 20:34:50 | epoch=1/1 shard=droid_train_0031.hdf5 samples=9090
[train-sharded:train] 33/1197 shards | elapsed 35:08 | rate 0.02/shard/s | remaining 20:39:02 | epoch=1/1 shard=droid_train_0032.hdf5 samples=10201
[train-sharded:train] 34/1197 shards | elapsed 36:18 | rate 0.02/shard/s | remaining 20:41:49 | epoch=1/1 shard=droid_train_0033.hdf5 samples=10065
[train-sharded:train] 35/1197 shards | elapsed 37:12 | rate 0.02/shard/s | remaining 20:35:18 | epoch=1/1 shard=droid_train_0034.hdf5 samples=8433
[train-sharded:train] 36/1197 shards | elapsed 38:06 | rate 0.02/shard/s | remaining 20:28:35 | epoch=1/1 shard=droid_train_0035.hdf5 samples=8654
[train-sharded:train] 37/1197 shards | elapsed 39:27 | rate 0.02/shard/s | remaining 20:37:03 | epoch=1/1 shard=droid_train_0036.hdf5 samples=10810
[train-sharded:train] 38/1197 shards | elapsed 40:22 | rate 0.02/shard/s | remaining 20:31:09 | epoch=1/1 shard=droid_train_0037.hdf5 samples=8695
[train-sharded:train] 39/1197 shards | elapsed 41:20 | rate 0.02/shard/s | remaining 20:27:06 | epoch=1/1 shard=droid_train_0038.hdf5 samples=8922
[train-sharded:train] 40/1197 shards | elapsed 42:17 | rate 0.02/shard/s | remaining 20:22:51 | epoch=1/1 shard=droid_train_0039.hdf5 samples=9076
[train-sharded:train] 41/1197 shards | elapsed 43:14 | rate 0.02/shard/s | remaining 20:19:10 | epoch=1/1 shard=droid_train_0040.hdf5 samples=8677
[train-sharded:train] 42/1197 shards | elapsed 44:11 | rate 0.02/shard/s | remaining 20:14:57 | epoch=1/1 shard=droid_train_0041.hdf5 samples=8795
[train-sharded:train] 43/1197 shards | elapsed 45:19 | rate 0.02/shard/s | remaining 20:16:02 | epoch=1/1 shard=droid_train_0042.hdf5 samples=9681
[train-sharded:train] 44/1197 shards | elapsed 46:36 | rate 0.02/shard/s | remaining 20:21:05 | epoch=1/1 shard=droid_train_0043.hdf5 samples=10293
[train-sharded:train] 45/1197 shards | elapsed 47:48 | rate 0.02/shard/s | remaining 20:23:37 | epoch=1/1 shard=droid_train_0044.hdf5 samples=10109
[train-sharded:train] 46/1197 shards | elapsed 48:51 | rate 0.02/shard/s | remaining 20:22:14 | epoch=1/1 shard=droid_train_0045.hdf5 samples=9394
[train-sharded:train] 47/1197 shards | elapsed 49:50 | rate 0.02/shard/s | remaining 20:19:19 | epoch=1/1 shard=droid_train_0046.hdf5 samples=8775
[train-sharded:train] 48/1197 shards | elapsed 50:55 | rate 0.02/shard/s | remaining 20:18:52 | epoch=1/1 shard=droid_train_0047.hdf5 samples=9646
[train-sharded:train] 49/1197 shards | elapsed 51:57 | rate 0.02/shard/s | remaining 20:17:05 | epoch=1/1 shard=droid_train_0048.hdf5 samples=9360
[train-sharded:train] 50/1197 shards | elapsed 53:07 | rate 0.02/shard/s | remaining 20:18:35 | epoch=1/1 shard=droid_train_0049.hdf5 samples=10224
[train-sharded:train] 51/1197 shards | elapsed 53:51 | rate 0.02/shard/s | remaining 20:10:12 | epoch=1/1 shard=droid_train_0050.hdf5 samples=7510
[train-sharded:train] 52/1197 shards | elapsed 54:47 | rate 0.02/shard/s | remaining 20:06:25 | epoch=1/1 shard=droid_train_0051.hdf5 samples=8439
[train-sharded:train] 53/1197 shards | elapsed 56:03 | rate 0.02/shard/s | remaining 20:09:46 | epoch=1/1 shard=droid_train_0052.hdf5 samples=10772
[train-sharded:train] 54/1197 shards | elapsed 57:03 | rate 0.02/shard/s | remaining 20:07:38 | epoch=1/1 shard=droid_train_0053.hdf5 samples=9119
[train-sharded:train] 55/1197 shards | elapsed 58:19 | rate 0.02/shard/s | remaining 20:10:45 | epoch=1/1 shard=droid_train_0054.hdf5 samples=10425
[train-sharded:train] 56/1197 shards | elapsed 59:18 | rate 0.02/shard/s | remaining 20:08:24 | epoch=1/1 shard=droid_train_0055.hdf5 samples=9218
[train-sharded:train] 57/1197 shards | elapsed 01:00:22 | rate 0.02/shard/s | remaining 20:07:22 | epoch=1/1 shard=droid_train_0056.hdf5 samples=9057
[train-sharded:train] 58/1197 shards | elapsed 01:01:21 | rate 0.02/shard/s | remaining 20:04:51 | epoch=1/1 shard=droid_train_0057.hdf5 samples=8647
[train-sharded:train] 59/1197 shards | elapsed 01:02:25 | rate 0.02/shard/s | remaining 20:03:57 | epoch=1/1 shard=droid_train_0058.hdf5 samples=9542
[train-sharded:train] 60/1197 shards | elapsed 01:03:31 | rate 0.02/shard/s | remaining 20:03:34 | epoch=1/1 shard=droid_train_0059.hdf5 samples=9300
[train-sharded:train] 61/1197 shards | elapsed 01:04:37 | rate 0.02/shard/s | remaining 20:03:28 | epoch=1/1 shard=droid_train_0060.hdf5 samples=9375
[train-sharded:train] 62/1197 shards | elapsed 01:05:46 | rate 0.02/shard/s | remaining 20:03:50 | epoch=1/1 shard=droid_train_0061.hdf5 samples=9638
[train-sharded:train] 63/1197 shards | elapsed 01:06:47 | rate 0.02/shard/s | remaining 20:02:09 | epoch=1/1 shard=droid_train_0062.hdf5 samples=9334
[train-sharded:train] 64/1197 shards | elapsed 01:07:51 | rate 0.02/shard/s | remaining 20:01:06 | epoch=1/1 shard=droid_train_0063.hdf5 samples=9210
[train-sharded:train] 65/1197 shards | elapsed 01:08:45 | rate 0.02/shard/s | remaining 19:57:25 | epoch=1/1 shard=droid_train_0064.hdf5 samples=8555
[train-sharded:train] 66/1197 shards | elapsed 01:09:48 | rate 0.02/shard/s | remaining 19:56:08 | epoch=1/1 shard=droid_train_0065.hdf5 samples=9107
[train-sharded:train] 67/1197 shards | elapsed 01:10:42 | rate 0.02/shard/s | remaining 19:52:22 | epoch=1/1 shard=droid_train_0066.hdf5 samples=8251
[train-sharded:train] 68/1197 shards | elapsed 01:11:23 | rate 0.02/shard/s | remaining 19:45:08 | epoch=1/1 shard=droid_train_0067.hdf5 samples=7185
[train-sharded:train] 69/1197 shards | elapsed 01:12:23 | rate 0.02/shard/s | remaining 19:43:20 | epoch=1/1 shard=droid_train_0068.hdf5 samples=9170
[train-sharded:train] 70/1197 shards | elapsed 01:13:24 | rate 0.02/shard/s | remaining 19:41:48 | epoch=1/1 shard=droid_train_0069.hdf5 samples=9388
[train-sharded:train] 71/1197 shards | elapsed 01:14:22 | rate 0.02/shard/s | remaining 19:39:26 | epoch=1/1 shard=droid_train_0070.hdf5 samples=8763
[train-sharded:train] 72/1197 shards | elapsed 01:15:37 | rate 0.02/shard/s | remaining 19:41:23 | epoch=1/1 shard=droid_train_0071.hdf5 samples=10376
[train-sharded:train] 73/1197 shards | elapsed 01:16:25 | rate 0.02/shard/s | remaining 19:36:40 | epoch=1/1 shard=droid_train_0072.hdf5 samples=8059
[train-sharded:train] 74/1197 shards | elapsed 01:17:26 | rate 0.02/shard/s | remaining 19:35:05 | epoch=1/1 shard=droid_train_0073.hdf5 samples=9332
[train-sharded:train] 75/1197 shards | elapsed 01:18:36 | rate 0.02/shard/s | remaining 19:35:45 | epoch=1/1 shard=droid_train_0074.hdf5 samples=10016
[train-sharded:train] 76/1197 shards | elapsed 01:19:47 | rate 0.02/shard/s | remaining 19:36:43 | epoch=1/1 shard=droid_train_0075.hdf5 samples=9741
[train-sharded:train] 77/1197 shards | elapsed 01:20:39 | rate 0.02/shard/s | remaining 19:33:03 | epoch=1/1 shard=droid_train_0076.hdf5 samples=8271
[train-sharded:train] 78/1197 shards | elapsed 01:21:46 | rate 0.02/shard/s | remaining 19:33:05 | epoch=1/1 shard=droid_train_0077.hdf5 samples=9619
[train-sharded:train] 79/1197 shards | elapsed 01:22:42 | rate 0.02/shard/s | remaining 19:30:25 | epoch=1/1 shard=droid_train_0078.hdf5 samples=8598
[train-sharded:train] 80/1197 shards | elapsed 01:23:33 | rate 0.02/shard/s | remaining 19:26:33 | epoch=1/1 shard=droid_train_0079.hdf5 samples=8061
[train-sharded:train] 81/1197 shards | elapsed 01:24:42 | rate 0.02/shard/s | remaining 19:26:55 | epoch=1/1 shard=droid_train_0080.hdf5 samples=9927
[train-sharded:train] 82/1197 shards | elapsed 01:25:49 | rate 0.02/shard/s | remaining 19:26:48 | epoch=1/1 shard=droid_train_0081.hdf5 samples=9670
[train-sharded:train] 83/1197 shards | elapsed 01:27:04 | rate 0.02/shard/s | remaining 19:28:33 | epoch=1/1 shard=droid_train_0082.hdf5 samples=10726
[train-sharded:train] 84/1197 shards | elapsed 01:28:02 | rate 0.02/shard/s | remaining 19:26:31 | epoch=1/1 shard=droid_train_0083.hdf5 samples=8714
[train-sharded:train] 85/1197 shards | elapsed 01:29:10 | rate 0.02/shard/s | remaining 19:26:26 | epoch=1/1 shard=droid_train_0084.hdf5 samples=8631
[train-sharded:train] 86/1197 shards | elapsed 01:30:09 | rate 0.02/shard/s | remaining 19:24:43 | epoch=1/1 shard=droid_train_0085.hdf5 samples=9181
[train-sharded:train] 87/1197 shards | elapsed 01:31:15 | rate 0.02/shard/s | remaining 19:24:18 | epoch=1/1 shard=droid_train_0086.hdf5 samples=9403
[train-sharded:train] 88/1197 shards | elapsed 01:32:14 | rate 0.02/shard/s | remaining 19:22:19 | epoch=1/1 shard=droid_train_0087.hdf5 samples=9109
[train-sharded:train] 89/1197 shards | elapsed 01:33:28 | rate 0.02/shard/s | remaining 19:23:33 | epoch=1/1 shard=droid_train_0088.hdf5 samples=10232
[train-sharded:train] 90/1197 shards | elapsed 01:34:28 | rate 0.02/shard/s | remaining 19:21:54 | epoch=1/1 shard=droid_train_0089.hdf5 samples=9191
[train-sharded:train] 91/1197 shards | elapsed 01:35:48 | rate 0.02/shard/s | remaining 19:24:23 | epoch=1/1 shard=droid_train_0090.hdf5 samples=9767
[train-sharded:train] 92/1197 shards | elapsed 01:36:44 | rate 0.02/shard/s | remaining 19:21:54 | epoch=1/1 shard=droid_train_0091.hdf5 samples=8737
[train-sharded:train] 93/1197 shards | elapsed 01:37:51 | rate 0.02/shard/s | remaining 19:21:40 | epoch=1/1 shard=droid_train_0092.hdf5 samples=9508
[train-sharded:train] 94/1197 shards | elapsed 01:38:47 | rate 0.02/shard/s | remaining 19:19:04 | epoch=1/1 shard=droid_train_0093.hdf5 samples=8710
[train-sharded:train] 95/1197 shards | elapsed 01:39:45 | rate 0.02/shard/s | remaining 19:17:11 | epoch=1/1 shard=droid_train_0094.hdf5 samples=8980
[train-sharded:train] 96/1197 shards | elapsed 01:40:46 | rate 0.02/shard/s | remaining 19:15:37 | epoch=1/1 shard=droid_train_0095.hdf5 samples=9070
[train-sharded:train] 97/1197 shards | elapsed 01:41:57 | rate 0.02/shard/s | remaining 19:16:12 | epoch=1/1 shard=droid_train_0096.hdf5 samples=10029
[train-sharded:train] 98/1197 shards | elapsed 01:42:52 | rate 0.02/shard/s | remaining 19:13:32 | epoch=1/1 shard=droid_train_0097.hdf5 samples=8318
[train-sharded:train] 99/1197 shards | elapsed 01:43:56 | rate 0.02/shard/s | remaining 19:12:41 | epoch=1/1 shard=droid_train_0098.hdf5 samples=9210
[train-sharded:train] 100/1197 shards | elapsed 01:44:57 | rate 0.02/shard/s | remaining 19:11:16 | epoch=1/1 shard=droid_train_0099.hdf5 samples=9003
[train-sharded:train] 101/1197 shards | elapsed 01:45:51 | rate 0.02/shard/s | remaining 19:08:40 | epoch=1/1 shard=droid_train_0100.hdf5 samples=8328
[train-sharded:train] 102/1197 shards | elapsed 01:47:16 | rate 0.02/shard/s | remaining 19:11:31 | epoch=1/1 shard=droid_train_0101.hdf5 samples=10338
[train-sharded:train] 103/1197 shards | elapsed 01:48:09 | rate 0.02/shard/s | remaining 19:08:45 | epoch=1/1 shard=droid_train_0102.hdf5 samples=8210
[train-sharded:train] 104/1197 shards | elapsed 01:49:03 | rate 0.02/shard/s | remaining 19:06:05 | epoch=1/1 shard=droid_train_0103.hdf5 samples=8327
[train-sharded:train] 105/1197 shards | elapsed 01:50:06 | rate 0.02/shard/s | remaining 19:05:01 | epoch=1/1 shard=droid_train_0104.hdf5 samples=9505
[train-sharded:train] 106/1197 shards | elapsed 01:51:24 | rate 0.02/shard/s | remaining 19:06:37 | epoch=1/1 shard=droid_train_0105.hdf5 samples=9896
[train-sharded:train] 107/1197 shards | elapsed 01:52:11 | rate 0.02/shard/s | remaining 19:02:50 | epoch=1/1 shard=droid_train_0106.hdf5 samples=7945
[train-sharded:train] 108/1197 shards | elapsed 01:53:07 | rate 0.02/shard/s | remaining 19:00:36 | epoch=1/1 shard=droid_train_0107.hdf5 samples=8426
[train-sharded:train] 109/1197 shards | elapsed 01:54:15 | rate 0.02/shard/s | remaining 19:00:27 | epoch=1/1 shard=droid_train_0108.hdf5 samples=10078
[train-sharded:train] 110/1197 shards | elapsed 01:55:18 | rate 0.02/shard/s | remaining 18:59:23 | epoch=1/1 shard=droid_train_0109.hdf5 samples=9451
[train-sharded:train] 111/1197 shards | elapsed 01:57:04 | rate 0.02/shard/s | remaining 19:05:17 | epoch=1/1 shard=droid_train_0110.hdf5 samples=11573
[train-sharded:train] 112/1197 shards | elapsed 01:58:06 | rate 0.02/shard/s | remaining 19:04:04 | epoch=1/1 shard=droid_train_0111.hdf5 samples=9004
[train-sharded:train] 113/1197 shards | elapsed 01:59:16 | rate 0.02/shard/s | remaining 19:04:07 | epoch=1/1 shard=droid_train_0112.hdf5 samples=10352
[train-sharded:train] 114/1197 shards | elapsed 02:00:03 | rate 0.02/shard/s | remaining 19:00:32 | epoch=1/1 shard=droid_train_0113.hdf5 samples=7966
[train-sharded:train] 115/1197 shards | elapsed 02:01:10 | rate 0.02/shard/s | remaining 19:00:03 | epoch=1/1 shard=droid_train_0114.hdf5 samples=9751
[train-sharded:train] 116/1197 shards | elapsed 02:02:23 | rate 0.02/shard/s | remaining 19:00:27 | epoch=1/1 shard=droid_train_0115.hdf5 samples=9942
[train-sharded:train] 117/1197 shards | elapsed 02:03:25 | rate 0.02/shard/s | remaining 18:59:10 | epoch=1/1 shard=droid_train_0116.hdf5 samples=9370
[train-sharded:train] 118/1197 shards | elapsed 02:04:46 | rate 0.02/shard/s | remaining 19:00:53 | epoch=1/1 shard=droid_train_0117.hdf5 samples=10716
[train-sharded:train] 119/1197 shards | elapsed 02:05:54 | rate 0.02/shard/s | remaining 19:00:34 | epoch=1/1 shard=droid_train_0118.hdf5 samples=9766
[train-sharded:train] 120/1197 shards | elapsed 02:06:50 | rate 0.02/shard/s | remaining 18:58:15 | epoch=1/1 shard=droid_train_0119.hdf5 samples=8828
[train-sharded:train] 121/1197 shards | elapsed 02:07:38 | rate 0.02/shard/s | remaining 18:54:56 | epoch=1/1 shard=droid_train_0120.hdf5 samples=7996
[train-sharded:train] 122/1197 shards | elapsed 02:08:38 | rate 0.02/shard/s | remaining 18:53:23 | epoch=1/1 shard=droid_train_0121.hdf5 samples=9127
[train-sharded:train] 123/1197 shards | elapsed 02:09:31 | rate 0.02/shard/s | remaining 18:50:54 | epoch=1/1 shard=droid_train_0122.hdf5 samples=8365
[train-sharded:train] 124/1197 shards | elapsed 02:10:34 | rate 0.02/shard/s | remaining 18:49:45 | epoch=1/1 shard=droid_train_0123.hdf5 samples=9210
[train-sharded:train] 125/1197 shards | elapsed 02:11:28 | rate 0.02/shard/s | remaining 18:47:31 | epoch=1/1 shard=droid_train_0124.hdf5 samples=8533
[train-sharded:train] 126/1197 shards | elapsed 02:12:32 | rate 0.02/shard/s | remaining 18:46:29 | epoch=1/1 shard=droid_train_0125.hdf5 samples=9111
[train-sharded:train] 127/1197 shards | elapsed 02:13:26 | rate 0.02/shard/s | remaining 18:44:11 | epoch=1/1 shard=droid_train_0126.hdf5 samples=8269
[train-sharded:train] 128/1197 shards | elapsed 02:14:27 | rate 0.02/shard/s | remaining 18:42:52 | epoch=1/1 shard=droid_train_0127.hdf5 samples=9204
[train-sharded:train] 129/1197 shards | elapsed 02:15:37 | rate 0.02/shard/s | remaining 18:42:45 | epoch=1/1 shard=droid_train_0128.hdf5 samples=9507
[train-sharded:train] 130/1197 shards | elapsed 02:16:29 | rate 0.02/shard/s | remaining 18:40:09 | epoch=1/1 shard=droid_train_0129.hdf5 samples=7977
[train-sharded:train] 131/1197 shards | elapsed 02:17:16 | rate 0.02/shard/s | remaining 18:37:04 | epoch=1/1 shard=droid_train_0130.hdf5 samples=7796
[train-sharded:train] 132/1197 shards | elapsed 02:18:17 | rate 0.02/shard/s | remaining 18:35:42 | epoch=1/1 shard=droid_train_0131.hdf5 samples=9098
[train-sharded:train] 133/1197 shards | elapsed 02:19:12 | rate 0.02/shard/s | remaining 18:33:38 | epoch=1/1 shard=droid_train_0132.hdf5 samples=8750
[train-sharded:train] 134/1197 shards | elapsed 02:20:14 | rate 0.02/shard/s | remaining 18:32:27 | epoch=1/1 shard=droid_train_0133.hdf5 samples=8975
[train-sharded:train] 135/1197 shards | elapsed 02:21:01 | rate 0.02/shard/s | remaining 18:29:18 | epoch=1/1 shard=droid_train_0134.hdf5 samples=7855
[train-sharded:train] 136/1197 shards | elapsed 02:22:07 | rate 0.02/shard/s | remaining 18:28:41 | epoch=1/1 shard=droid_train_0135.hdf5 samples=9733
[train-sharded:train] 137/1197 shards | elapsed 02:23:03 | rate 0.02/shard/s | remaining 18:26:52 | epoch=1/1 shard=droid_train_0136.hdf5 samples=8596
[train-sharded:train] 138/1197 shards | elapsed 02:24:05 | rate 0.02/shard/s | remaining 18:25:41 | epoch=1/1 shard=droid_train_0137.hdf5 samples=9327
[train-sharded:train] 139/1197 shards | elapsed 02:25:14 | rate 0.02/shard/s | remaining 18:25:29 | epoch=1/1 shard=droid_train_0138.hdf5 samples=9971
[train-sharded:train] 140/1197 shards | elapsed 02:26:20 | rate 0.02/shard/s | remaining 18:24:50 | epoch=1/1 shard=droid_train_0139.hdf5 samples=9480
[train-sharded:train] 141/1197 shards | elapsed 02:27:10 | rate 0.02/shard/s | remaining 18:22:14 | epoch=1/1 shard=droid_train_0140.hdf5 samples=7808
[train-sharded:train] 142/1197 shards | elapsed 02:28:25 | rate 0.02/shard/s | remaining 18:22:41 | epoch=1/1 shard=droid_train_0141.hdf5 samples=10508
[train-sharded:train] 143/1197 shards | elapsed 02:29:31 | rate 0.02/shard/s | remaining 18:22:03 | epoch=1/1 shard=droid_train_0142.hdf5 samples=9314
[train-sharded:train] 144/1197 shards | elapsed 02:30:38 | rate 0.02/shard/s | remaining 18:21:29 | epoch=1/1 shard=droid_train_0143.hdf5 samples=9911
[train-sharded:train] 145/1197 shards | elapsed 02:31:43 | rate 0.02/shard/s | remaining 18:20:44 | epoch=1/1 shard=droid_train_0144.hdf5 samples=9635
[train-sharded:train] 146/1197 shards | elapsed 02:32:42 | rate 0.02/shard/s | remaining 18:19:17 | epoch=1/1 shard=droid_train_0145.hdf5 samples=9015
[train-sharded:train] 147/1197 shards | elapsed 02:33:47 | rate 0.02/shard/s | remaining 18:18:30 | epoch=1/1 shard=droid_train_0146.hdf5 samples=9503
[train-sharded:train] 148/1197 shards | elapsed 02:34:47 | rate 0.02/shard/s | remaining 18:17:05 | epoch=1/1 shard=droid_train_0147.hdf5 samples=9020
[train-sharded:train] 149/1197 shards | elapsed 02:35:56 | rate 0.02/shard/s | remaining 18:16:47 | epoch=1/1 shard=droid_train_0148.hdf5 samples=10256
[train-sharded:train] 150/1197 shards | elapsed 02:37:04 | rate 0.02/shard/s | remaining 18:16:16 | epoch=1/1 shard=droid_train_0149.hdf5 samples=9621
[train-sharded:train] 151/1197 shards | elapsed 02:38:05 | rate 0.02/shard/s | remaining 18:15:02 | epoch=1/1 shard=droid_train_0150.hdf5 samples=9150
[train-sharded:train] 152/1197 shards | elapsed 02:39:13 | rate 0.02/shard/s | remaining 18:14:40 | epoch=1/1 shard=droid_train_0151.hdf5 samples=9673
[train-sharded:train] 153/1197 shards | elapsed 02:40:57 | rate 0.02/shard/s | remaining 18:18:12 | epoch=1/1 shard=droid_train_0152.hdf5 samples=10984
[train-sharded:train] 154/1197 shards | elapsed 02:42:16 | rate 0.02/shard/s | remaining 18:18:56 | epoch=1/1 shard=droid_train_0153.hdf5 samples=10701
[train-sharded:train] 155/1197 shards | elapsed 02:43:32 | rate 0.02/shard/s | remaining 18:19:24 | epoch=1/1 shard=droid_train_0154.hdf5 samples=10068
[train-sharded:train] 156/1197 shards | elapsed 02:44:42 | rate 0.02/shard/s | remaining 18:19:06 | epoch=1/1 shard=droid_train_0155.hdf5 samples=10165
[train-sharded:train] 157/1197 shards | elapsed 02:45:50 | rate 0.02/shard/s | remaining 18:18:29 | epoch=1/1 shard=droid_train_0156.hdf5 samples=9514
[train-sharded:train] 158/1197 shards | elapsed 02:46:42 | rate 0.02/shard/s | remaining 18:16:10 | epoch=1/1 shard=droid_train_0157.hdf5 samples=8306
[train-sharded:train] 159/1197 shards | elapsed 02:47:48 | rate 0.02/shard/s | remaining 18:15:30 | epoch=1/1 shard=droid_train_0158.hdf5 samples=9718
[train-sharded:train] 160/1197 shards | elapsed 02:49:16 | rate 0.02/shard/s | remaining 18:17:03 | epoch=1/1 shard=droid_train_0159.hdf5 samples=10685
[train-sharded:train] 161/1197 shards | elapsed 02:50:19 | rate 0.02/shard/s | remaining 18:16:00 | epoch=1/1 shard=droid_train_0160.hdf5 samples=9392
[train-sharded:train] 162/1197 shards | elapsed 02:51:05 | rate 0.02/shard/s | remaining 18:13:04 | epoch=1/1 shard=droid_train_0161.hdf5 samples=7919
[train-sharded:train] 163/1197 shards | elapsed 02:52:00 | rate 0.02/shard/s | remaining 18:11:03 | epoch=1/1 shard=droid_train_0162.hdf5 samples=8740
[train-sharded:train] 164/1197 shards | elapsed 02:52:59 | rate 0.02/shard/s | remaining 18:09:37 | epoch=1/1 shard=droid_train_0163.hdf5 samples=9038
[train-sharded:train] 165/1197 shards | elapsed 02:53:47 | rate 0.02/shard/s | remaining 18:06:58 | epoch=1/1 shard=droid_train_0164.hdf5 samples=7764
[train-sharded:train] 166/1197 shards | elapsed 02:55:21 | rate 0.02/shard/s | remaining 18:09:05 | epoch=1/1 shard=droid_train_0165.hdf5 samples=10901
[train-sharded:train] 167/1197 shards | elapsed 02:56:34 | rate 0.02/shard/s | remaining 18:08:58 | epoch=1/1 shard=droid_train_0166.hdf5 samples=10256
[train-sharded:train] 168/1197 shards | elapsed 02:57:33 | rate 0.02/shard/s | remaining 18:07:29 | epoch=1/1 shard=droid_train_0167.hdf5 samples=9078
